"country","fertilizer_key","min_price","max_price","price_per_bag","price_active","sort_order","desc","created_at","updated_at"
"GH","UREA_GH","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","UREA_GH","122","122","122","1","1","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","UREA_GH","132","132","132","1","2","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","UREA_GH","142","142","142","1","4","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","UREA_GH","-1","-1","-1","1","9999","Exact price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_23_10_5_GH","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_11_22_21_GH","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_25_10_10_GH","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_15_20_20_GH","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_20_10_10_GH","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_12_30_17_GH","0","0","0","1","999","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_23_10_5_GH","126","126","126","1","1",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_23_10_5_GH","136","136","136","1","2",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_23_10_5_GH","146","146","146","1","4",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_23_10_5_GH","-1","-1","-1","1","999","Exact price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_11_22_21_GH","140","140","140","1","1",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_11_22_21_GH","150","150","150","1","2",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_11_22_21_GH","160","160","160","1","4",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_11_22_21_GH","-1","-1","-1","1","999","Exact Price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_15_20_20_GH","136","136","136","1","1",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_15_20_20_GH","146","146","146","1","3",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_15_20_20_GH","156","156","156","1","4",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_15_20_20_GH","-1","-1","-1","1","999","Exact Price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_20_10_10_GH","126","126","126","1","1",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_20_10_10_GH","136","136","136","1","2",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_20_10_10_GH","146","146","146","1","4",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_20_10_10_GH","-1","-1","-1","1","999","Exact Price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_25_10_10_GH","130","130","130","1","1",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_25_10_10_GH","140","140","140","1","2",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_25_10_10_GH","150","150","150","1","4",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_25_10_10_GH","-1","-1","-1","1","999","Exact Price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_12_30_17_GH","140","140","140","1","1",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_12_30_17_GH","150","150","150","1","2",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_12_30_17_GH","160","160","160","1","4",,"23/11/2021 14:25:50","23/11/2021 14:25:50"
"GH","NPK_12_30_17_GH","-1","-1","-1","1","999","Exact Price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","CAN_NG","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","CAN_RW","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","CAN_TZ","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","DAP_NG","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","DAP_RW","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","DAP_TZ","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","MOP_NG","24239.56","24239.56","24239.56","1","4","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","MOP_RW","-1005","-1005","-1005","1","5","Exact price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","MOP_TZ","119704","119704","119704","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","NAFAKAPLUS_TZ","119704","119704","119704","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","NPK_10_10_10_NG","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","NPK_15_15_15_NG","0","0","0","1","0","I dont know","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","NPK_17_17_17_TZ","-2302","-2302","-2302","1","5","Exact price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","NPK_20_12_16_MG_2_NG","-410.84","-410.84","-410.84","1","5","Exact price","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","NPK_20_12_26_NG","21363.68","21363.68","21363.68","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","SSP_NG","21363.68","21363.68","21363.68","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","SSP_RW","52260","52260","52260","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","SSP_TZ","105892","105892","105892","1","2","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","TSP_NG","24239.56","24239.56","24239.56","1","4","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","UREA_NG","24239.56","24239.56","24239.56","1","4","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","UREA_RW","52260","52260","52260","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","UREA_TZ","119704","119704","119704","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","YARAMILA_UNIK_TZ","135818","135818","135818","1","4","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","CAN_NG","21363.68","21363.68","21363.68","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","CAN_RW","52260","52260","52260","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"TZ","CAN_TZ","119704","119704","119704","1","3","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"NG","DAP_NG","24239.56","24239.56","24239.56","1","4","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
"RW","DAP_RW","46230","46230","46230","1","2","1","23/11/2021 14:25:50","23/11/2021 14:25:50"
