name,type,n,p,k,price,weight,country,custom,available,created_at
UREA,UREA,0,0,0,NA,50,ALL,0,1,2019-07-09 08:43:00
CAN,CAN,0,0,0,NA,50,ALL,0,1,2019-07-10 08:43:00
SSP,SSP,0,0,0,NA,50,ALL,0,1,2019-07-11 08:43:00
MOP,MOP,0,0,0,NA,50,ALL,0,1,2019-07-12 08:43:00
DAP,DAP,0,0,0,NA,50,ALL,0,1,2019-07-13 08:43:00
Nafaka Plus,NAFAKAPLUS,0,0,0,NA,50,TZ,0,1,2019-07-14 08:43:00
NPK 17:17:17,NPK_17_17_17,17,17,17,NA,50,TZ,0,1,2019-07-15 08:43:00
TSP,TSP,0,0,0,NA,50,NG,0,1,2019-07-16 08:43:00
NPK 15:15:15,NPK_15_15_15,15,15,15,NA,50,NG,0,1,2019-07-17 08:43:00
NPK 20:10:10,NPK_10_10_10,10,10,10,NA,50,NG,0,1,2019-07-18 08:43:00
